Candidate,Tweet,Year,Party
HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,2016,Democrat
HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy",2016,Democrat
HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,2016,Democrat
HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,2016,Democrat
HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,2016,Democrat
HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,2016,Democrat
HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM",2016,Democrat
HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S,2016,Democrat
HillaryClinton,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw",2016,Democrat
HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG,2016,Democrat
HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",2016,Democrat
HillaryClinton,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",2016,Democrat
HillaryClinton,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",2016,Democrat
HillaryClinton,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM,2016,Democrat
HillaryClinton,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",2016,Democrat
HillaryClinton,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n",2016,Democrat
HillaryClinton,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF",2016,Democrat
HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq",2016,Democrat
HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm",2016,Democrat
HillaryClinton,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",2016,Democrat
HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay,2016,Democrat
HillaryClinton,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,2016,Democrat
HillaryClinton,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT",2016,Democrat
